Titre,Notes,Nombre des évaluations,Prix,Rehercher_url
"Verbatim 47683 2TO Store 'n' Save 3.5"" USB 3.0 HDD de bureau (Gen 2)","4,3 sur 5 étoiles",534,"98,88 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Storite Disque Dur externe Portable 1 to Disque Dur de sauvegarde 2,5 Pouces avec USB 2.0 Compatible avec PC, Mac, Windows, Ordinateur Portable, Bureau (Blanc)","4,3 sur 5 étoiles",1 207,"49,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Verbatim 53071 1To Store n Go USB 3.0 2.5"" HDD Ext - Argent","4,3 sur 5 étoiles",707,"64,84 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Toshiba 1TB Canvio Basics Portable External Hard Drive,USB 3.0 Gen 1, Black (HDTB410EK3AA)","4,6 sur 5 étoiles",86 410,"58,82 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Transcend 1To StoreJet 25M3S - 2.5"" Disque dur externe Anti-choc - Connectique Type A - TS1TSJ25M3S","4,6 sur 5 étoiles",12 755,"86,98 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Seagate Expansion Portable, 1 To, Disque dur externe HDD, USB 3.0 pour PC portable et Mac et services Rescue valables 2 ans (STEA1000400)","4,6 sur 5 étoiles",86 384,"92,50 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Sonnics 1TB USB 3.1 Type C Externes Portable Durs Disques pour Fenêtres PC, Mac, Smart TV, Xbox One/Série X & PS4 /PS5, Bleu","4,2 sur 5 étoiles",575,"54,45 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"HIKSEMI SSD Externe Portable 1TO, Vitesse de Lecture jusqu'à 560 Mo/s, USB 3.1/Type C Ultra Mince Disque SSD Externe pour PC/Laptop/Tablets/Smartphones (Gris) - T300S","4,6 sur 5 étoiles",378,"80,98 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"SUHSAI Disque Dur externe 1 to HDD de sauvegarde de données – Extension de mémoire 2,5"" Disque Dur Portable USB 3.0 Compatible avec Mac, Ordinateur de Bureau, PC, PS4, PS5, Xbox One (Argent)","4,2 sur 5 étoiles",984,"50,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
Verbatim Store 'n' Go ALU Slim I 1 to I Argent I Disque Dur Externe I USB 3.2 GEN 1 I Disque Dur Externe en Aluminium I pour Windows & Mac OS X I Disque Dur Portable I Disque Dur USB Argenté,"4,5 sur 5 étoiles",84,"87,98 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"SUHSAI Disque Dur externe Portable de Type C 2,5"" Sauvegarde/Stockage, Disque Dur HDD Fin 1 to Compatible avec MacBook, PC, Ordinateur Portable, Ordinateur de Bureau, Chromebook (Noir)","4,3 sur 5 étoiles",204,"50,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Hurricane MD25C3 Disque Dur externe 1 to 2,5"" USB-C Portable HDD pour PC, Laptop, TV, Ordinateur Portable, PS4, PS5, Xbox Compatible avec Windows Mac Linux","4,4 sur 5 étoiles",372,"51,95 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UGREEN USB C Boîtier Externe 2,5 Pouces Disque Dur SATA III II I HDD SSD USB 3.1 Gen 2 Type C 6Gbps UASP Supporte Windows Mac OS Linux, Câble USB A vers USB C Inclus","4,6 sur 5 étoiles",19 613,"19,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
